Endereço;Complemento;Cidade;Estado;CódigoPostal;Name;Telefone;Bairro;Região OP;URL;Tipo;Categoria;Latitude;Longitude;Endereço Formatado
Praça Marechal Deodoro, 101;;Porto Alegre;RS;90010-300;Espaço Novos Talentos;(51)3295-8659;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,024364161213;-51,193535627033;Praça Marechal Deodoro, 101 Porto Alegre, RS 90010-300
Praça Marechal Deodoro, 110; Centro Histórico;Porto Alegre;RS;90010-300;Memorial do Ministério Público;(51)3295-8650;Centro Historico;;www.mp.rs.gov.br/memorial;ESPAÇO CULTURAL;;-30,032549246664;-51,229547504744;Praça Marechal Deodoro, 110 - Centro, Porto Alegre - RS, 90010-300, República Federativa do Brasil
Praça Marechal Deodoro, 55;;Porto Alegre;RS;90010-300;Museu do Memorial do Judiciário do Rio Grande do Sul;(51)3210-7176;;CENTRO;www.tj.rs.gov.br;ESPAÇO CULTURAL;;-30,032295754394;-51,229799868533;Praça Marechal Deodoro, 55 Porto Alegre, RS 90010-300
Rua 24 de Outubro, 112;;Porto Alegre;RS;90510-002;Goethe-Institut;(51)2118-7800;Independencia;CENTRO;http://www.goethe.de/ins/br/poa/bib/knt/ptindex.htm;ESPAÇO DE FORMAÇÃO CULTURAL;livro, leitura, música, audiovisual ;-30,027842956903;-51,205877236133;Rua Vinte e Quatro de Outubro, 112 - Independência, Porto Alegre - RS, 90510-002, República Federativa do Brasil
Rua 24 de Outubro, 112;;Porto Alegre;RS;90510-002;Instituto Goethe     ;(51)2118-7800;Independencia;CENTRO;www.goethe.de/br/poa/;ESPAÇO CULTURAL;;-30,027591681607;-51,204872755833;Rua 24 de Outubro, 112 Porto Alegre, RS 90510-002
Rua 24 de Outubro, 200;;Porto Alegre;RS;90510-002;Auditório da Galera do DMAE Centro Histórico-Cultural Antônio Klinger Filho;(51)3289-9727;Moinhos de Vento;CENTRO;http://www2.portoalegre.rs.gov.br/dmae/default.php?p_secao=243;ESPAÇO CULTURAL;;-30,027589707162;-51,20487603107;Rua Vinte e Quatro de Outubro, 200 - Moinhos de Vento, Porto Alegre - RS, 90510-002, República Federativa do Brasil
Rua 24 de Outubro, 200;;Porto Alegre;RS;90510-002;Galeria de Arte do DMAE;(51)3289-9727;Moinhos de Vento;CENTRO;http://www2.portoalegre.rs.gov.br/dmae/default.php?p_secao=243;ESPAÇO CULTURAL;artes visuais, fotografia;-30,02908804536;-51,230000727355;Rua 24 de Outubro, 200 Porto Alegre, RS 90510-002
Rua 7 de Setembro 1020, ;;Porto Alegre;RS;90010-191;Espaço Cultural Correios;(51)3220-8468;Centro Historico;CENTRO;;ESPAÇO CULTURAL;;-30,029086827711;-51,229997599664;Rua Sete de Setembro, 1020 - Centro, Porto Alegre - RS, 90010-191, República Federativa do Brasil
Rua 7 de Setembro, 1020; 2º andar sala 2;Porto Alegre;RS;90010-191;Arquivo Histórico do Rio Grande do Sul;(51)3225-7880;Bom Fim;CENTRO;http://www.cultura.rs.gov.br/principal.php?inc=arq_hist;ESPAÇO DE FORMAÇÃO CULTURAL;arquivo;-30,031057770275;-51,235370487009;Rua Sete de Setembro, 1020 - Centro, Porto Alegre - RS, 90010-191, República Federativa do Brasil
Rua 7 de Setembro, 388;;Porto Alegre;RS;90010-300;Memorial TCE;(51)3214-9787;Centro Historico;CENTRO;http://www.tce.rs.gov.br/;ESPAÇO CULTURAL;;-30,01394217246;-51,204507262272;Rua Sete de Setembro, 388 - Centro, Porto Alegre - RS, 90010-190, República Federativa do Brasil
